sentimentSubjectivity,uuid,plikes,title,url,views,creation,dislikes,dataSessionlink,likes,duration,sentimentPolarity,pdislikes,channel,description
0.0,133,100.0,COCA COLA FANNY PACK Exclusive Edition for Workers,/watch?v=eUkw8uDhjYI,51 views,5 months ago,0,itct=CDkQ3DAYDCITCKOP09DrqdcCFZUSFgodUO8B5ij0JFIJI2NvY2Fjb2xh,8,1:02,0.0,0.0,/channel/UCymIaVntStir1VUp7YjAMpA,"COCA COLA FANNY PACK Exclusive Edition for Workers (Venezuela)Welcome to this channel for Toys, Collections and Surprises ..."
0.575,134,83.3333333333,"SIS vs BRO COOL Experiments with Coca-Cola and Baking Soda, MEGA COKE EXPLOSION!!! BIGGER than Coke",/watch?v=xllRlOoM7Cg,136 views,5 months ago,1,itct=CDgQ3DAYDSITCKOP09DrqdcCFZUSFgodUO8B5ij0JFIJI2NvY2Fjb2xh,5,7:29,0.341796875,16.6666666667,/user/frederic1989ful,"SIS vs BRO COOL Experiments with Coca-Cola and Baking Soda, MEGA COKE EXPLOSION!!! BIGGER than Coke SIS vs BRO ..."
0.0,135,0,Learn Colors Baby Doll Bath Time With Colors M&Ms Coca Cola Bottle Finger Family Song,/watch?v=YCC0JbzMdRQ,No views,5 months ago,0,itct=CDcQ3DAYDiITCKOP09DrqdcCFZUSFgodUO8B5ij0JFIJI2NvY2Fjb2xh,0,16:47,0.0,0,/channel/UCZnnY1efHA9Ti4JMeuU6x4g,"Learn Colors Baby Doll Bath Time With Colors M&Ms Coca Cola Bottle Finger Family Song Learn Colors Like, Comments video ..."
,136,99.3630573248,Mein Coca-Cola Moment 😂 Liegend auf der Straße | VLOG #514 | DIANA DIAMANTA,/watch?v=HDmpyjs2VcQ,"2,373 views",5 months ago,1,itct=CDYQ3DAYDyITCKOP09DrqdcCFZUSFgodUO8B5ij0JFIJI2NvY2Fjb2xh,156,25:08,,0.636942675159,/user/LadyDianaWien1985,"Ich mach mit vielen anderen österreichischen Bloggern mit beim Wettbewerb Coca-Cola Markenbotschafter zu werden, im Video ..."
0.2,137,100.0,RAINBOW DRINKS PYRAMID CHALLENGE!CRAZY COCA COLA vs PEPSI vs Fanta Spiderman Hulk Joker & Fun Movie,/watch?v=0BVs9x3kuXo,"17,456 views",5 months ago,0,itct=CDUQ3DAYECITCKOP09DrqdcCFZUSFgodUO8B5ij0JFIJI2NvY2Fjb2xh,5,5:10,0.3,0.0,/channel/UC8nCCV3SWtNCFfRwoB0ZQmw,RAINBOW DRINKS PYRAMID CHALLENGE!CRAZY COCA COLA vs PEPSI vs Pepsi Spiderman Hulk Joker & Fun Movie CRAZY ...
0.0,138,66.6666666667,Coca Cola Finger Family Song for Children Toddlers and Babies Nursery Rhymes,/watch?v=iozvaUjTjdA,"131,672 views",5 months ago,324,itct=CDQQ3DAYESITCKOP09DrqdcCFZUSFgodUO8B5ij0JFIJI2NvY2Fjb2xh,648,2:26,0.0,33.3333333333,/channel/UCfnNvUwwtq4sm3fYbh519AA,Coca Cola Finger Family Song for Children Toddlers and Babies Nursery Rhymes https://youtu.be/iozvaUjTjdA Hi guys! Do you ...
0.0,139,96.5517241379,Learn #COLOR with Twins and Coca Cola Fanta Sprite Finger Family Song 2017,/watch?v=aqQ73K_C928,629 views,5 months ago,3,itct=CDMQ3DAYEiITCKOP09DrqdcCFZUSFgodUO8B5ij0JFIJI2NvY2Fjb2xh,84,2:38,0.0,3.44827586207,/channel/UCs53WJ5wDcxMLTZ1BFUzubQ,Learn #Colors with Twins and Coca Cola Fanta Sprite Finger Family Song forChildren Toddlers and Babies | Nursery Rhymes ...
0.0,140,0,DIY How To Make 'Kinetic Sand Coca Cola Bottle' Learn Colors with Kinetic Sand Art,/watch?v=37NEfRKYkA8,No views,5 months ago,0,itct=CDIQ3DAYEyITCKOP09DrqdcCFZUSFgodUO8B5ij0JFIJI2NvY2Fjb2xh,0,6:09,0.0,0,/channel/UCZBLzU4Nq0xzIgAx0nZuu3w,DIY How To Make 'Kinetic Sand Coca Cola Bottle' Learn Colors with Kinetic Sand Art DIY How to make 'Kinetic Sand Coca Cola ...
1.0,141,55.5555555556,#Cocacola + Mentos... :),/watch?v=tauE8p-2I8g,65 views,5 months ago,4,itct=CEUQ3DAYACITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,5,3:13,0.5,44.4444444444,/channel/UCTi27wGNuszEZjgBv5Ii3Dg,
1.0,142,0,SHOCKING: Look what they found In Coca-Cola Cans!!,/watch?v=AcstZRymvLo,1 view,6 months ago,0,itct=CEQQ3DAYASITCOyMkdHrqdcCFUaIFgodJDQC8ij0JFIJI2NvY2Fjb2xh,0,5:03,-1.0,0,/channel/UCY8IJY0J9WRAyUPv9DC7HZw,SHOCKING: Look what they found In Coca-Cola Cans!! The night shift at the factory was disrupted when stunned workers peeked ...
